nameWithOwner;name;url;stargazerCount;releases;createdAt;ageInYears
pedant/sweet-alert-dialog;sweet-alert-dialog;https://github.com/pedant/sweet-alert-dialog;7265;2;19/10/2014 09:24:09;8
leolin310148/ShortcutBadger;ShortcutBadger;https://github.com/leolin310148/ShortcutBadger;7254;0;15/11/2013 12:51:52;9
goldze/MVVMHabit;MVVMHabit;https://github.com/goldze/MVVMHabit;7246;3;21/07/2017 10:38:40;5
google/agera;agera;https://github.com/google/agera;7244;16;17/12/2015 13:22:58;7
cymcsg/UltimateRecyclerView;UltimateRecyclerView;https://github.com/cymcsg/UltimateRecyclerView;7232;9;28/01/2015 02:27:45;8
crazycodeboy/TakePhoto;TakePhoto;https://github.com/crazycodeboy/TakePhoto;7216;15;04/08/2015 02:05:32;7
PaperMC/Paper;Paper;https://github.com/PaperMC/Paper;7215;1;22/01/2016 05:40:19;7
awsdocs/aws-doc-sdk-examples;aws-doc-sdk-examples;https://github.com/awsdocs/aws-doc-sdk-examples;7214;0;18/08/2016 19:06:57;6
kevin-wayne/algs4;algs4;https://github.com/kevin-wayne/algs4;7206;0;31/08/2015 09:28:49;7
geeeeeeeeek/WeChatLuckyMoney;WeChatLuckyMoney;https://github.com/geeeeeeeeek/WeChatLuckyMoney;7164;20;30/09/2015 16:11:20;7
swagger-api/swagger-core;swagger-core;https://github.com/swagger-api/swagger-core;7144;85;05/07/2011 23:44:11;11
JakeWharton/ActionBarSherlock;ActionBarSherlock;https://github.com/JakeWharton/ActionBarSherlock;7137;32;07/03/2011 17:28:54;12
dyc87112/SpringCloud-Learning;SpringCloud-Learning;https://github.com/dyc87112/SpringCloud-Learning;7114;0;21/08/2016 03:39:52;6
Qihoo360/RePlugin;RePlugin;https://github.com/Qihoo360/RePlugin;7111;18;08/06/2017 09:39:09;5
zfile-dev/zfile;zfile;https://github.com/zfile-dev/zfile;7081;60;19/08/2019 13:57:56;3
abel533/Mapper;Mapper;https://github.com/abel533/Mapper;7053;4;21/11/2014 11:02:10;8
flyway/flyway;flyway;https://github.com/flyway/flyway;7051;176;14/12/2012 18:43:22;10
yuanguangxin/LeetCode;LeetCode;https://github.com/yuanguangxin/LeetCode;7045;0;11/01/2020 01:02:02;3
wildfirechat/im-server;im-server;https://github.com/wildfirechat/im-server;7033;81;23/01/2019 15:21:28;4
ogaclejapan/SmartTabLayout;SmartTabLayout;https://github.com/ogaclejapan/SmartTabLayout;6996;0;14/02/2015 11:25:51;8
li-xiaojun/XPopup;XPopup;https://github.com/li-xiaojun/XPopup;6922;220;07/12/2018 06:16:48;4
LawnchairLauncher/lawnchair;lawnchair;https://github.com/LawnchairLauncher/lawnchair;6916;25;03/03/2017 13:12:58;6
testcontainers/testcontainers-java;testcontainers-java;https://github.com/testcontainers/testcontainers-java;6891;61;12/04/2015 12:44:59;7
karatelabs/karate;karate;https://github.com/karatelabs/karate;6881;48;07/02/2017 15:59:17;6
hongyangAndroid/okhttputils;okhttputils;https://github.com/hongyangAndroid/okhttputils;6871;0;17/08/2015 14:53:29;7
Exrick/xmall;xmall;https://github.com/Exrick/xmall;6859;0;28/07/2017 01:49:49;5
Tencent/Shadow;Shadow;https://github.com/Tencent/Shadow;6850;5;13/06/2019 10:50:27;3
TechEmpower/FrameworkBenchmarks;FrameworkBenchmarks;https://github.com/TechEmpower/FrameworkBenchmarks;6848;15;22/03/2013 17:33:54;9
lenve/VBlog;VBlog;https://github.com/lenve/VBlog;6840;0;26/12/2017 11:01:55;5
apache/jmeter;jmeter;https://github.com/apache/jmeter;6836;0;26/05/2010 23:38:07;12
NLPchina/elasticsearch-sql;elasticsearch-sql;https://github.com/NLPchina/elasticsearch-sql;6828;196;24/08/2014 14:26:31;8
naman14/Timber;Timber;https://github.com/naman14/Timber;6821;5;12/06/2015 16:43:55;7
DroidPluginTeam/DroidPlugin;DroidPlugin;https://github.com/DroidPluginTeam/DroidPlugin;6791;2;27/08/2015 11:14:57;7
google/closure-compiler;closure-compiler;https://github.com/google/closure-compiler;6786;0;16/04/2014 15:30:36;8
gocd/gocd;gocd;https://github.com/gocd/gocd;6736;74;13/12/2013 05:26:16;9
hongyangAndroid/AndroidAutoLayout;AndroidAutoLayout;https://github.com/hongyangAndroid/AndroidAutoLayout;6687;0;19/11/2015 02:09:11;7
Angel-ML/angel;angel;https://github.com/Angel-ML/angel;6648;19;25/04/2017 05:57:43;5
software-mansion/react-native-svg;react-native-svg;https://github.com/software-mansion/react-native-svg;6633;92;17/01/2016 14:29:21;7
yanzhenjie/AndPermission;AndPermission;https://github.com/yanzhenjie/AndPermission;6593;0;11/09/2016 05:17:34;6
apache/beam;beam;https://github.com/apache/beam;6586;28;02/02/2016 08:00:06;7
zo0r/react-native-push-notification;react-native-push-notification;https://github.com/zo0r/react-native-push-notification;6573;35;14/12/2015 19:53:36;7
opensearch-project/OpenSearch;OpenSearch;https://github.com/opensearch-project/OpenSearch;6566;29;29/01/2021 22:10:00;2
Meituan-Dianping/walle;walle;https://github.com/Meituan-Dianping/walle;6563;1;10/01/2017 03:39:25;6
apache/tomcat;tomcat;https://github.com/apache/tomcat;6553;0;01/10/2011 07:00:19;11
NanoHttpd/nanohttpd;nanohttpd;https://github.com/NanoHttpd/nanohttpd;6546;3;10/08/2012 21:52:42;10
twowaits/SDE-Interview-Questions;SDE-Interview-Questions;https://github.com/twowaits/SDE-Interview-Questions;6523;1;25/10/2017 11:08:52;5
markzhai/AndroidPerformanceMonitor;AndroidPerformanceMonitor;https://github.com/markzhai/AndroidPerformanceMonitor;6503;0;17/01/2016 05:23:22;7
bytedeco/javacv;javacv;https://github.com/bytedeco/javacv;6494;9;21/04/2014 13:50:26;8
react-native-video/react-native-video;react-native-video;https://github.com/react-native-video/react-native-video;6487;10;31/03/2015 05:08:38;7
GrenderG/Toasty;Toasty;https://github.com/GrenderG/Toasty;6455;19;18/01/2017 18:52:41;6
Graylog2/graylog2-server;graylog2-server;https://github.com/Graylog2/graylog2-server;6452;0;17/05/2010 21:27:02;12
apache/storm;storm;https://github.com/apache/storm;6434;0;05/11/2013 08:00:14;9
